Date,Portfolio_Value
2010-01-04,100000.0
2010-01-05,100000.0
2010-01-06,100000.0
2010-01-07,100000.0
2010-01-08,100000.0
2010-01-11,100000.0
2010-01-12,100000.0
2010-01-13,100000.0
2010-01-14,100000.0
2010-01-15,100000.0
2010-01-19,100000.0
2010-01-20,100000.0
2010-01-21,100000.0
2010-01-22,100000.0
2010-01-25,100000.0
2010-01-26,100000.0
2010-01-27,100000.0
2010-01-28,100000.0
2010-01-29,100000.0
2010-02-01,100000.0
2010-02-02,100000.0
2010-02-03,100000.0
2010-02-04,100000.0
2010-02-05,100000.0
2010-02-08,100000.0
2010-02-09,100000.0
2010-02-10,100000.0
2010-02-11,100000.0
2010-02-12,100000.0
2010-02-16,100000.0
2010-02-17,100000.0
2010-02-18,100000.0
2010-02-19,100000.0
2010-02-22,100000.0
2010-02-23,100000.0
2010-02-24,100000.0
2010-02-25,100000.0
2010-02-26,100000.0
2010-03-01,100000.0
2010-03-02,100000.0
2010-03-03,100000.0
2010-03-04,100000.0
2010-03-05,100000.0
2010-03-08,100000.0
2010-03-09,100000.0
2010-03-10,100000.0
2010-03-11,100000.0
2010-03-12,100000.0
2010-03-15,100000.0
2010-03-16,100000.0
2010-03-17,100000.0
2010-03-18,100000.0
2010-03-19,100000.0
2010-03-22,100000.0
2010-03-23,100000.0
2010-03-24,100000.0
2010-03-25,100000.0
2010-03-26,100000.0
2010-03-29,100000.0
2010-03-30,100000.0
2010-03-31,100000.0
2010-04-01,100000.0
2010-04-05,100000.0
2010-04-06,100000.0
2010-04-07,100000.0
2010-04-08,100000.0
2010-04-09,100000.0
2010-04-12,100000.0
2010-04-13,100000.0
2010-04-14,100000.0
2010-04-15,100000.0
2010-04-16,100000.0
2010-04-19,100000.0
2010-04-20,100000.0
2010-04-21,100000.0
2010-04-22,100000.0
2010-04-23,98978.65017099479
2010-04-26,99396.19125871733
2010-04-27,97151.81863740415
2010-04-28,96628.03310467175
2010-04-29,98053.41368190874
2010-04-30,96602.39813285749
2010-05-03,97061.084672613
2010-05-04,96871.90735083075
2010-05-05,97688.69310741851
2010-05-06,98055.3991520737
2010-05-07,96830.30513097448
2010-05-10,98252.77744505531
2010-05-11,97835.18242838143
2010-05-12,97836.9839331462
2010-05-13,98167.834812535
2010-05-14,97269.78961066669
2010-05-17,97901.65435160979
2010-05-18,97449.42854512774
2010-05-19,97885.52811684631
2010-05-20,97639.10658631865
2010-05-21,97639.10658631865
2010-05-24,97639.10658631865
2010-05-25,97639.10658631865
2010-05-26,97639.10658631865
2010-05-27,97639.10658631865
2010-05-28,97639.10658631865
2010-06-01,97639.10658631865
2010-06-02,97639.10658631865
2010-06-03,97639.10658631865
2010-06-04,97639.10658631865
2010-06-07,97639.10658631865
2010-06-08,97639.10658631865
2010-06-09,97639.10658631865
2010-06-10,97639.10658631865
2010-06-11,97639.10658631865
2010-06-14,97639.10658631865
2010-06-15,97639.10658631865
2010-06-16,97639.10658631865
2010-06-17,97639.10658631865
2010-06-18,97639.10658631865
2010-06-21,97639.10658631865
2010-06-22,97639.10658631865
2010-06-23,97639.10658631865
2010-06-24,97639.10658631865
2010-06-25,97639.10658631865
2010-06-28,97639.10658631865
2010-06-29,97639.10658631865
2010-06-30,97639.10658631865
2010-07-01,97639.10658631865
2010-07-02,97639.10658631865
2010-07-06,97639.10658631865
2010-07-07,97639.10658631865
2010-07-08,97639.10658631865
2010-07-09,97639.10658631865
2010-07-12,97424.54394988978
2010-07-13,98933.51301909113
2010-07-14,100678.65037819554
2010-07-15,101681.18116279968
2010-07-16,101357.58414368791
2010-07-19,101972.89449045173
2010-07-20,102482.53963675853
2010-07-21,102029.33005925204
2010-07-22,102073.25768671857
2010-07-23,103220.56817834417
2010-07-26,101606.3517954378
2010-07-27,101941.21791589586
2010-07-28,101204.97473959278
2010-07-29,100818.20004381369
2010-07-30,105456.68785329802
2010-08-02,104578.23636384847
2010-08-03,104929.8040777257
2010-08-04,108235.61778999952
2010-08-05,108272.70776448786
2010-08-06,109407.41645855468
2010-08-09,108760.78458506305
2010-08-10,109695.36818261824
2010-08-11,109695.36818261824
2010-08-12,109695.36818261824
2010-08-13,109695.36818261824
2010-08-16,109695.36818261824
2010-08-17,109695.36818261824
2010-08-18,109695.36818261824
2010-08-19,109695.36818261824
2010-08-20,109695.36818261824
2010-08-23,109695.36818261824
2010-08-24,109695.36818261824
2010-08-25,109695.36818261824
2010-08-26,109695.36818261824
2010-08-27,109695.36818261824
2010-08-30,109695.36818261824
2010-08-31,109695.36818261824
2010-09-01,109695.36818261824
2010-09-02,109695.36818261824
2010-09-03,110709.12197328467
2010-09-07,111475.41787882836
2010-09-08,110695.48512166928
2010-09-09,110079.79945089374
2010-09-10,110044.78282180941
2010-09-13,109278.07640618656
2010-09-14,108389.2182882688
2010-09-15,108744.70829778237
2010-09-16,106766.70811681039
2010-09-17,105204.69537581934
2010-09-20,105907.93815479235
2010-09-21,105763.98524169788
2010-09-22,106357.83466698721
2010-09-23,105815.39486653687
2010-09-24,103899.1952491705
2010-09-27,104139.72405668476
2010-09-28,105314.27029190352
2010-09-29,106697.99226518029
2010-09-30,106778.78970804508
2010-10-01,108512.17364670594
2010-10-04,109062.83215141266
2010-10-05,108067.91196158408
2010-10-06,110054.58191212392
2010-10-07,110054.58191212395
2010-10-08,110054.58191212395
2010-10-11,110054.58191212395
2010-10-12,110054.58191212395
2010-10-13,110054.58191212395
2010-10-14,110054.58191212395
2010-10-15,110054.58191212395
2010-10-18,110054.58191212395
2010-10-19,110054.58191212395
2010-10-20,110054.58191212395
2010-10-21,110054.58191212395
2010-10-22,110054.58191212395
2010-10-25,110054.58191212395
2010-10-26,110054.58191212395
2010-10-27,110054.58191212395
2010-10-28,110054.58191212395
2010-10-29,109863.56450845218
2010-11-01,110482.53234532988
2010-11-02,110729.70305699142
2010-11-03,111072.01858920787
2010-11-04,115048.95526331881
2010-11-05,115048.95526331881
2010-11-08,115048.95526331881
2010-11-09,115048.95526331881
2010-11-10,115048.95526331881
2010-11-11,115048.95526331881
2010-11-12,115048.95526331881
2010-11-15,115048.95526331881
2010-11-16,115048.95526331881
2010-11-17,115048.95526331881
2010-11-18,115048.95526331881
2010-11-19,115048.95526331881
2010-11-22,115048.95526331881
2010-11-23,115048.95526331881
2010-11-24,115048.95526331881
2010-11-26,115048.95526331881
2010-11-29,115048.95526331881
2010-11-30,115048.95526331881
2010-12-01,115048.95526331881
2010-12-02,115048.95526331881
2010-12-03,115048.95526331881
2010-12-06,115048.95526331881
2010-12-07,115048.95526331881
2010-12-08,115048.95526331881
2010-12-09,115048.95526331881
2010-12-10,115048.95526331881
2010-12-13,115048.95526331881
2010-12-14,115048.95526331881
2010-12-15,115048.95526331881
2010-12-16,115048.95526331881
2010-12-17,115048.95526331881
2010-12-20,115048.95526331881
2010-12-21,115048.95526331881
2010-12-22,115048.95526331881
2010-12-23,115048.95526331881
2010-12-27,115048.95526331881
2010-12-28,115048.95526331881
2010-12-29,115048.95526331881
2010-12-30,115048.95526331881
2010-12-31,115048.95526331881
2011-01-03,115048.95526331881
2011-01-04,115048.95526331881
2011-01-05,115048.95526331881
2011-01-06,115048.95526331881
2011-01-07,115048.95526331881
2011-01-10,115048.95526331881
2011-01-11,115048.95526331881
2011-01-12,115048.95526331881
2011-01-13,115048.95526331881
2011-01-14,115048.95526331881
2011-01-18,115048.95526331881
2011-01-19,115048.95526331881
2011-01-20,115048.95526331881
2011-01-21,115048.95526331881
2011-01-24,115048.95526331881
2011-01-25,115720.9926507084
2011-01-26,114109.55766517001
2011-01-27,114462.29178266975
2011-01-28,114669.03417356912
2011-01-31,114761.87996646488
2011-02-01,115198.93897254759
2011-02-02,115025.14373153579
2011-02-03,114344.22370867585
2011-02-04,114725.5186324125
2011-02-07,114517.77074216785
2011-02-08,115590.3287172685
2011-02-09,113538.2020762071
2011-02-10,114317.68184333234
2011-02-11,103766.10331664886
2011-02-14,104543.84919291698
2011-02-15,104524.39973264028
2011-02-16,102809.19326326018
2011-02-17,102154.36552830104
2011-02-18,101896.30316088162
2011-02-22,101182.88213268635
2011-02-23,102209.16804911147
2011-02-24,102245.83502643347
2011-02-25,101817.00631279583
2011-02-28,99928.4150275657
2011-03-01,100686.06723224514
2011-03-02,100600.06001225804
2011-03-03,100309.60913040349
2011-03-04,101991.07041561509
2011-03-07,102343.64974565039
2011-03-08,102807.18354939655
2011-03-09,103001.08723911416
2011-03-10,105070.20657775895
